"","business_id","business_name","rating","flavor","environment","service","share","avg_cost","food_style","district","longitude","latitude","free_parking","wifi","delivery","n"
"49",500362,"老四川阿大火锅城","3",17,13,14,11,50,"hotpot","徐汇区",121.44515,31.18119,0,0,0,NA
"50",500366,"老夜上海","4",20,23,18,0,176,"local","卢湾区",121.46073,31.22038,1,0,0,NA
"51",500377,"利东南鹰","4",17,19,15,0,104,"local","徐汇区",121.44011,31.20545,1,0,0,NA
"52",500380,"陵水酒家","4",20,16,17,0,107,"south_korea","长宁区",121.39508,31.19563,1,0,0,NA
"53",500390,"鹭鹭酒家(恒隆店)","4",21,22,19,699,158,"local","静安区",121.45439,31.22758,1,1,1,NA
"54",500394,"廊亦舫酒楼(张杨路店)","4",19,16,16,0,115,"local","浦东新区",121.52338,31.22901,1,0,0,NA
"55",500395,"绿波廊(豫园路店)","4",21,20,17,638,120,"local","黄浦区",121.49206,31.22629,0,0,0,NA
"56",500402,"洛卡铁板烧烤","4",19,13,17,0,70,"japan","徐汇区",121.43582,31.17693,1,1,1,NA
"57",500406,"马克西姆","3",13,19,18,52,261,"western","黄浦区",121.47103,31.22977,0,0,0,NA
"58",500412,"满福楼酒家","4.5",24,24,23,113,226,"guangdong","长宁区",121.40581,31.20293,1,0,0,NA
"59",500414,"毛豆阿姨","3.5",17,17,14,290,84,"local","静安区",121.44819,31.21637,1,0,0,NA
"60",500420,"梅园村酒家(虹口店)","4",20,17,16,185,96,"local","虹口区",121.4885,31.27627,1,0,0,NA
"61",500424,"梅园村酒家(静安店)","4",19,15,14,0,109,"local","静安区",121.45462,31.22327,1,0,0,NA
"62",500430,"美林阁(吴中路店)","3",15,17,13,50,115,"local","闵行区",121.39583,31.1809,1,0,0,NA
"63",500431,"美林阁(虹桥店)","3.5",18,19,16,55,119,"local","长宁区",121.38894,31.1985,1,0,0,NA
"64",500432,"美林阁(虹口店)","4",18,18,15,0,104,"local","虹口区",121.48928,31.26135,1,0,0,NA
"65",500434,"美林阁(静安店)","2",14,13,11,23,92,"local","静安区",121.43621,31.22697,0,0,0,NA
"66",500435,"美林阁(浦东店)","3",15,15,13,0,95,"local","浦东新区",121.52176,31.22864,1,0,0,NA
"67",500460,"名羊天下","4",22,19,22,0,72,"hotpot","徐汇区",121.42874,31.17358,1,1,1,NA
"68",500463,"南华火锅(四川路店)","3.5",19,13,13,150,67,"hotpot","虹口区",121.48381,31.26328,0,1,1,NA
"69",500464,"南华火锅(天山店)","3.5",20,15,15,125,66,"hotpot","长宁区",121.40519,31.21505,1,0,0,NA
"70",500476,"帕戈意大利餐厅","4",20,21,21,0,239,"western","黄浦区",121.48682,31.23242,1,0,0,NA
"71",500477,"帕兰朵","5",25,26,26,0,475,"western","静安区",121.45207,31.22666,1,1,1,NA
"72",500478,"葡萄园","4",20,17,16,447,54,"local","徐汇区",121.45552,31.21752,0,1,1,NA
"73",500486,"蜀地辣子鱼(安福店)","3",17,11,11,191,52,"sichuan","徐汇区",121.4444,31.21402,1,1,1,NA
"74",500487,"蜀地辣子鱼(静安店)","2",14,8,9,0,51,"sichuan","静安区",121.46145,31.23158,0,1,1,NA
"75",500506,"苏浙汇(肇嘉浜路店)","4",24,24,22,0,180,"local","徐汇区",121.457,31.20224,1,0,0,NA
"76",500514,"谭氏火锅(虹口足球场店)","3",16,13,14,0,62,"hotpot","虹口区",121.4808,31.26983,1,1,1,NA
"77",500517,"谭鱼头(虹口店)","3",16,11,13,0,74,"hotpot","虹口区",121.48259,31.26741,1,0,0,NA
"78",500522,"谭鱼头(田林店)","3",16,11,13,52,65,"hotpot","徐汇区",121.41749,31.16995,1,1,1,NA
"79",500539,"天天渔港(徐汇店)","4",19,17,15,0,99,"guangdong","徐汇区",121.4423,31.19249,1,0,0,NA
"80",500553,"王朝大酒店(徐汇店)","4",21,24,19,0,166,"local","徐汇区",121.46051,31.2032,1,0,0,NA
"81",500564,"翁龄旺山珍","3",18,14,13,0,65,"local","静安区",121.45697,31.23567,1,0,0,NA
"82",500565,"我家餐厅","4",21,13,18,0,52,"local","静安区",121.44615,31.22012,1,0,0,NA
"83",500579,"席家花园(静安店)","4",20,24,19,873,162,"local","静安区",121.44788,31.21776,1,0,0,NA
"84",500580,"席家花园(徐汇总店)","4",19,20,17,678,167,"local","徐汇区",121.45145,31.20829,1,0,0,NA
"85",500581,"席家花园(闸北店)","4",17,15,15,0,127,"local","闸北区",121.4541,31.24617,1,0,0,NA
"86",500588,"夏苑中餐厅","4.5",21,23,23,96,309,"guangdong","静安区",121.45241,31.22646,0,0,0,NA
"87",500607,"香樟花园时尚厨房","4",19,24,17,1830,127,"guangdong","徐汇区",121.44792,31.20661,0,0,0,NA
"88",500613,"小城火锅(潍坊店)","4",18,14,16,0,61,"hotpot","浦东新区",121.52438,31.22389,1,0,0,NA
"89",500620,"小肥羊(江宁路店)","4",22,15,15,0,68,"hotpot","静安区",121.44791,31.23916,1,1,1,NA
"90",500621,"小肥羊(南丹店)","4",22,15,15,383,70,"hotpot","徐汇区",121.43352,31.18925,1,1,1,NA
"91",500622,"小肥羊(陆家浜店)","4",21,16,14,0,70,"hotpot","黄浦区",121.48252,31.21108,1,1,1,NA
"92",500629,"小南国(虹梅店)","4.5",22,22,19,576,169,"local","闵行区",121.38504,31.19102,1,0,0,NA
"93",500632,"小南国(世茂滨江店)","4.5",22,27,20,567,191,"local","浦东新区",121.51651,31.22284,1,0,0,NA
"94",500657,"日本第一村","3",17,14,15,0,102,"japan","徐汇区",121.43403,31.18667,0,0,0,NA
"95",500659,"日珍日本餐厅","4",19,25,19,65,426,"japan","浦东新区",121.50646,31.23539,1,0,0,NA
"96",500662,"荣腾渔乡(金陵店)","3",19,11,11,222,52,"sichuan","黄浦区",121.48619,31.22952,0,0,0,NA
"97",500668,"三人行骨头王火锅(徐汇总店)","4",21,14,16,0,66,"hotpot","徐汇区",121.44568,31.19693,1,0,0,NA
"98",500674,"沙逊花园","4",18,21,19,0,182,"western","长宁区",121.35994,31.19009,0,0,0,NA
"99",500680,"上海老站","4",21,27,20,0,175,"local","徐汇区",121.43859,31.19141,1,0,0,NA
"100",500683,"上雅铁板烧(长宁店)","5",26,23,25,362,617,"japan","长宁区",121.39585,31.19459,1,0,0,NA
"101",500686,"申粤轩","4",20,27,19,0,173,"guangdong","徐汇区",121.43937,31.21269,1,0,0,NA
"102",500700,"新都里无二","5",23,27,24,2517,345,"japan","静安区",121.45023,31.21902,1,0,0,NA
"103",500703,"新吉士酒楼(中保店)","3.5",19,17,15,111,98,"local","浦东新区",121.5094,31.23639,1,0,0,NA
"104",500704,"新吉士酒楼(桃江店)","4",20,17,16,0,156,"local","徐汇区",121.44888,31.20952,1,0,0,NA
"105",500711,"新雅粤菜馆(南京东路店)","4",20,18,15,356,113,"guangdong","黄浦区",121.4768,31.23498,0,0,0,NA
"106",500720,"星晨酒店","4",18,20,18,196,144,"local","杨浦区",121.5181,31.29371,1,0,0,NA
"107",500723,"名家私宴精作坊","5",25,26,24,0,231,"local","卢湾区",121.47879,31.2246,1,0,0,NA
"108",500730,"勃逊","4",23,20,18,0,323,"western","静安区",121.42967,31.22355,0,0,0,NA
"109",500737,"阳光名邸大酒店(虹桥路店)","2",13,17,13,0,63,"guangdong","徐汇区",121.42226,31.19513,1,0,0,NA
"110",500741,"夜上海","4",20,27,21,0,220,"local","卢湾区",121.475,31.22116,0,0,0,NA
"111",500753,"伊藤家(古北店)","4",19,19,18,24,127,"japan","长宁区",121.39316,31.19362,0,1,1,NA
"112",500754,"伊藤家(中环店)","3",17,15,13,0,173,"japan","卢湾区",121.47289,31.22252,1,1,1,NA
"113",500765,"意庐","4",21,28,24,0,483,"western","浦东新区",121.50646,31.23539,1,1,1,NA
"114",500782,"圆苑酒家(兴国路店)","4.5",22,21,19,400,156,"local","徐汇区",121.43739,31.20604,1,0,0,NA
"115",500800,"证券总会中餐厅","4",16,22,17,0,129,"local","浦东新区",121.51124,31.23639,0,0,0,NA
"116",500803,"致真酒家(浦东店)","4",22,22,20,0,238,"local","浦东新区",121.51685,31.22724,1,0,0,NA
"117",500810,"朱记食府","3",17,12,13,4,21,"local","静安区",121.45043,31.21976,0,0,0,NA
"118",500820,"云龙韩国料理(东方店)","4",19,14,16,0,64,"south_korea","浦东新区",121.52844,31.2206,0,1,1,NA
"119",500821,"鲜墙房(浦东店)","4",19,22,18,213,199,"local","浦东新区",121.51886,31.23096,1,0,0,NA
"120",500829,"新利查西餐馆(广元路店)","3",19,11,10,2811,51,"western","徐汇区",121.43862,31.19887,0,0,0,NA
"121",500833,"林海野生菇","4",21,11,17,0,81,"hotpot","长宁区",121.39239,31.20122,0,0,0,NA
"122",500836,"伊藤新苑烧肉","4",21,18,19,0,135,"japan","长宁区",121.4015,31.19948,1,0,0,NA
"123",500839,"大风车私家菜馆(虹桥路店)","4",19,22,18,0,137,"local","长宁区",121.40325,31.1987,1,1,1,NA
"124",500850,"海上阿叔(徐汇店)","4",20,20,17,0,138,"local","徐汇区",121.44265,31.19077,1,1,1,NA
"125",500855,"尖沙咀","4",19,15,15,0,96,"guangdong","静安区",121.4442,31.21998,1,1,1,NA
"126",500858,"御花园酒店","4",19,23,16,0,95,"guangdong","长宁区",121.41965,31.22256,1,0,0,NA
"127",500861,"小乡村酒店","2",14,13,10,0,62,"local","徐汇区",121.44163,31.19191,1,0,0,NA
"128",500863,"洞天酒家","3",19,11,11,131,58,"sichuan","徐汇区",121.43862,31.19887,0,0,0,NA
"129",500864,"小龙酒家(重新装修开始营业了)","3",15,17,13,0,90,"local","徐汇区",121.41135,31.15124,1,0,0,NA
"130",500870,"小肥羊(东方路店)","3.5",20,14,13,215,70,"hotpot","浦东新区",121.52874,31.21462,1,0,0,NA
"131",500871,"多利川菜馆(淮海店)","3",16,13,13,256,67,"sichuan","卢湾区",121.4728,31.22307,0,0,0,NA
"132",500892,"望湘园(潍坊路店)","4",22,16,17,853,74,"hunan","浦东新区",121.52278,31.22434,1,1,1,NA
"133",500894,"稻草屋","3",18,13,13,0,47,"western_china","浦东新区",121.52955,31.23454,1,1,1,NA
"134",500895,"东骏燕窝鱼翅海鲜酒家","4",20,20,17,0,174,"guangdong","长宁区",121.42469,31.19835,1,0,0,NA
"135",500899,"仁义火锅城","3",18,8,12,0,51,"hotpot","浦东新区",121.57233,31.24675,1,0,0,NA
"136",500904,"上海人家家常菜(黄浦店)","3.5",19,15,13,425,95,"local","黄浦区",121.47905,31.22997,1,0,0,NA
"137",500912,"大谷季节料理","3.5",19,13,16,49,77,"japan","长宁区",121.39371,31.19444,0,0,0,NA
"138",500917,"三德屋(水城路店)","3",17,14,15,106,111,"japan","长宁区",121.39239,31.20122,0,0,0,NA
"139",500920,"韩林炭烤(梅川店)","3.5",18,16,16,115,72,"south_korea","普陀区",121.38892,31.2383,1,0,0,NA
"140",500927,"老铁东北菜馆","3",16,13,13,0,51,"northeast","长宁区",121.39239,31.20122,0,0,0,NA
"141",500931,"美粤华","4",18,22,19,75,218,"guangdong","徐汇区",121.46206,31.20342,1,0,0,NA
"142",500940,"翠亭酒家","3.5",21,12,16,1582,55,"local","黄浦区",121.48203,31.23767,0,1,1,NA
"143",500948,"仙炙轩(汾阳路店)","5",24,31,27,4380,454,"japan","徐汇区",121.45267,31.20946,1,0,0,NA
"144",500960,"松阪烧烤","4",23,15,14,0,174,"japan","卢湾区",121.46181,31.21876,1,0,0,NA
"145",500963,"1931 Restaurant(The One)","4",17,25,21,0,137,"local","卢湾区",121.46166,31.21555,0,1,1,NA
"146",500971,"海之幸(新乐店)","4",20,16,15,0,168,"japan","徐汇区",121.45351,31.21697,0,1,1,NA
"147",500975,"沙华多利(徐汇店)","4.5",22,20,20,312,195,"western","徐汇区",121.44821,31.20697,0,0,0,NA
"148",500980,"藏珑坊","4.5",20,27,20,3671,143,"western","徐汇区",121.45037,31.20842,0,1,1,NA
"149",500997,"白玉兰聚香阁(梅川店)","2",15,12,11,13,48,"local","普陀区",121.37934,31.24451,0,0,0,NA
"150",501002,"光明邨大酒家","4",23,15,13,1248,35,"local","卢湾区",121.46756,31.22052,0,1,1,NA
"151",501007,"御香海(淮海店)","4",22,16,19,0,97,"japan","徐汇区",121.44033,31.20558,0,0,0,NA
"152",501013,"衡山马勒别墅中餐厅","4.5",20,30,23,1192,415,"local","静安区",121.4567,31.2226,1,0,0,NA
"153",501014,"洁而精川菜馆(雁荡路店)","3",17,14,13,228,77,"sichuan","卢湾区",121.4697,31.21907,1,0,0,NA
"154",501015,"上海菜馆","3",16,15,14,0,103,"local","宝山区",121.4868,31.39651,0,0,0,NA
"155",501016,"金牡丹大酒店","4",20,19,17,0,87,"guangdong","宝山区",121.48402,31.39991,1,0,0,NA
"156",501018,"来天华(七宝店)","4",18,20,18,0,100,"local","闵行区",121.34815,31.15473,1,0,0,NA
"157",501019,"廊亦舫酒楼(正大店)","4",21,22,18,1379,127,"local","浦东新区",121.49905,31.23668,1,0,0,NA
"158",501027,"南新雅大酒店","4",17,18,14,0,311,"guangdong","黄浦区",121.47717,31.2343,1,0,0,NA
"159",501028,"上海人家精作坊(航站店)","4",20,19,17,434,124,"local","静安区",121.44675,31.22309,1,0,0,NA
"160",501038,"沈家花园(控江店)","4",18,15,14,0,104,"local","杨浦区",121.50845,31.2718,1,0,0,NA
"161",501050,"天天渔港(打浦店)","3.5",20,16,15,68,106,"guangdong","卢湾区",121.47121,31.20608,1,0,0,NA
"162",501053,"小南国日式烧烤(卢湾店)","5",27,22,22,484,244,"japan","卢湾区",121.46295,31.2209,1,0,0,NA
"163",501055,"原创私房菜","4",20,23,21,711,151,"local","静安区",121.44343,31.21721,0,0,0,NA
"164",501058,"新洛鼎大酒店","2",13,13,10,45,81,"local","闸北区",121.45971,31.31378,1,0,0,NA
"165",501061,"四季牛排屋","4.5",22,24,23,291,550,"western","静安区",121.46262,31.22705,0,0,0,NA
"166",501064,"博多新记(新乐路店)","3.5",21,11,14,537,53,"guangdong","徐汇区",121.45475,31.21755,0,1,1,NA
"167",501065,"博多新记(复兴店)","4",22,12,14,0,74,"guangdong","徐汇区",121.45809,31.21377,0,1,1,NA
"168",501068,"四季轩","4.5",21,25,23,165,257,"guangdong","静安区",121.46262,31.22705,1,0,0,NA
"169",501069,"随园","3.5",17,20,17,22,255,"guangdong","静安区",121.44522,31.2193,0,0,0,NA
"170",501073,"三人行骨头王火锅(长宁店)","4",20,11,15,0,63,"hotpot","长宁区",121.4337,31.21821,0,0,0,NA
"171",501076,"小肥羊(松江店)","3",18,13,12,0,58,"hotpot","松江区",121.23276,31.00487,1,0,0,NA
"172",501077,"湘菜馆(仙霞店)","2",15,12,12,26,69,"hunan","长宁区",121.38879,31.20589,0,0,0,NA
"173",501079,"韶山冲(徐汇店)","2",16,11,11,12,48,"hunan","徐汇区",121.43592,31.19392,0,0,0,NA
"174",501086,"伊藤家(瑞金店)","4",19,17,17,66,146,"japan","卢湾区",121.4637,31.21796,0,1,1,NA
"175",501092,"荣烧肉","4",24,20,21,0,184,"japan","长宁区",121.40379,31.20455,1,1,1,NA
"176",501104,"虹桥人家","4",17,18,17,0,94,"local","徐汇区",121.45033,31.19991,1,0,0,NA
"177",501107,"味千拉面(田林店)","3",16,13,11,21,34,"japan","徐汇区",121.41698,31.1712,1,1,1,NA
"178",501108,"味千拉面(陆家嘴店)","2",16,12,11,0,38,"japan","浦东新区",121.49905,31.23668,1,1,1,NA
"179",501112,"傣妹(淮海店)","2",12,9,10,120,32,"hotpot","卢湾区",121.47675,31.22447,0,0,0,NA
"180",501115,"银亭","4",21,18,17,0,170,"japan","静安区",121.45687,31.23006,0,0,0,NA
"181",501117,"仁清日本料理","4",23,25,24,0,242,"japan","卢湾区",121.46358,31.2173,1,0,0,NA
"182",501119,"山里(茂名南路店)","5",24,26,26,0,541,"japan","卢湾区",121.45981,31.21981,1,1,1,NA
"183",501120,"大公馆","4",18,26,18,0,400,"local","徐汇区",121.45433,31.21557,1,0,0,NA
"184",501124,"苏浙汇(东方路店)","4.5",22,22,20,458,164,"local","浦东新区",121.52758,31.22448,1,0,0,NA
"185",501128,"Danieli's","4",23,25,25,0,325,"western","浦东新区",121.52808,31.22376,0,0,0,NA
"186",501135,"宋记香辣蟹(曹家渡店)","3.5",20,12,14,238,86,"sichuan","静安区",121.42674,31.22958,1,0,0,NA
"187",501153,"T8 Restaurant & Bar","4",22,28,23,0,392,"western","卢湾区",121.47458,31.22143,0,1,1,NA
"188",501194,"牧羊人家(普陀店)","2",15,12,13,0,56,"hotpot","普陀区",121.4022,31.23389,1,0,0,NA
"189",501198,"小洋房","3",16,12,12,69,59,"local","普陀区",121.41291,31.22992,1,0,0,NA
"190",501203,"叉烧皇合记茶餐厅","2",15,10,12,0,26,"guangdong","静安区",121.44402,31.21733,0,1,1,NA
"191",501205,"香港仔码头茶餐厅(凤阳店)","3",17,10,11,0,47,"guangdong","黄浦区",121.47067,31.23398,0,1,1,NA
"192",501211,"新旺茶餐厅(长乐店)","4",22,16,15,696,59,"guangdong","卢湾区",121.46163,31.22094,0,1,1,NA
"193",501212,"新旺茶餐厅(汉口路店)","4",22,20,17,1252,65,"guangdong","黄浦区",121.48421,31.23546,0,0,0,NA
"194",501213,"海逸海鲜(古北店)","5",25,24,24,0,137,"guangdong","长宁区",121.3919,31.19702,1,0,0,NA
"195",501237,"致真酒家(虹口店)","4.5",24,19,20,138,219,"local","虹口区",121.49071,31.26336,1,0,0,NA
"196",501244,"鱼门客栈(静安店)","2",15,12,13,278,70,"sichuan","静安区",121.44702,31.22917,1,0,0,NA
"197",501251,"王宝和上海餐厅","4",19,21,18,46,242,"local","黄浦区",121.48059,31.2349,1,0,0,NA
"198",501257,"小上海餐厅","4",17,17,17,0,105,"local","徐汇区",121.43799,31.18973,0,1,1,NA
"199",501258,"华德饭店(北新泾店)","3",16,12,12,0,60,"local","长宁区",121.37106,31.21691,1,0,0,NA
"200",501260,"来天华(万都店)","4",17,19,16,0,102,"local","长宁区",121.40547,31.20466,1,0,0,NA
"201",501273,"陌生人火锅餐厅(博山路店)","3",17,14,14,17,68,"hotpot","浦东新区",121.55922,31.24719,1,0,0,NA
"202",501284,"一点红","4",16,26,19,374,80,"western","浦东新区",121.49636,31.2363,0,1,1,NA
"203",501297,"禾绿回转寿司(正大广场店)","3",17,14,15,131,67,"japan","浦东新区",121.49905,31.23668,1,1,1,NA
"204",501301,"禾绿回转寿司(淮海店)","3",17,14,15,0,61,"japan","卢湾区",121.47277,31.22269,0,1,1,NA
"205",501304,"禾绿回转寿司(天山店)","4",17,14,18,0,62,"japan","长宁区",121.40373,31.21132,0,0,0,NA
"206",501325,"远洋海皇","4",18,25,18,148,149,"local","虹口区",121.49639,31.24711,1,0,0,NA
"207",501330,"吉藏","3",16,15,15,300,53,"japan","静安区",121.46177,31.23133,0,1,1,NA
"208",501338,"半堆香","2",13,11,11,3,45,"local","浦东新区",121.59351,31.25878,0,0,0,NA
"209",501343,"味藏铁板烧","4.5",24,20,22,715,84,"japan","长宁区",121.40348,31.20614,0,0,0,NA
"210",501350,"东亚潮州酒楼","4.5",23,19,20,122,171,"guangdong","长宁区",121.40705,31.20349,0,0,0,NA
"211",501355,"天久地缘","3",14,15,15,25,100,"guangdong","长宁区",121.38756,31.19782,1,0,0,NA
"212",501361,"白玉兰聚香阁(灵石店)","2",15,12,12,3,42,"local","普陀区",121.4234,31.26804,0,0,0,NA
"213",501365,"南华湘菜馆","3.5",17,17,14,56,73,"hunan","普陀区",121.43581,31.2379,1,1,1,NA
"214",501378,"阿毛面餐馆(富民路店)","4",22,14,13,0,72,"local","静安区",121.45031,31.22003,0,1,1,NA
"215",501379,"东北四季饺子王(徐汇店)","4",22,15,17,0,40,"northeast","徐汇区",121.43975,31.20502,0,1,1,NA
"216",501391,"草原羊","3",17,12,15,89,68,"hotpot","黄浦区",121.48117,31.23426,1,1,1,NA
"217",501403,"美丽岛","4",22,19,18,0,171,"western","卢湾区",121.4618,31.2181,0,1,1,NA
"218",501411,"瑞福园(茂名店)","4",24,15,14,0,98,"local","卢湾区",121.46195,31.21524,1,0,0,NA
"219",501427,"上海三林塘","3",16,11,12,0,43,"local","徐汇区",121.42073,31.17737,1,0,0,NA
"220",501437,"染山","3.5",15,21,15,109,130,"japan","杨浦区",121.51259,31.27485,0,1,1,NA
"221",501442,"吴记老锅底麻辣火锅(蓝村店)","3",18,11,12,76,68,"hotpot","浦东新区",121.52393,31.21191,0,1,1,NA
"222",501457,"顺角轩酒店","2",13,14,13,78,62,"northeast","杨浦区",121.52268,31.28758,1,1,1,NA
"223",501468,"彩虹吧水果甜品屋","2",13,13,12,24,21,"guangdong","徐汇区",121.43741,31.19447,0,0,0,NA
"224",501497,"咖喱工房(淮海店)","2",13,11,11,80,34,"japan","卢湾区",121.45864,31.21801,0,1,1,NA
"225",501504,"明珠大饭店","3",16,15,14,0,96,"western_china","徐汇区",121.46259,31.20372,0,0,0,NA
"226",501524,"世亮火锅","3",19,11,12,0,63,"hotpot","长宁区",121.38716,31.2063,1,0,0,NA
"227",501533,"半岛酒楼(黄河路店)","3",18,10,12,0,64,"local","黄浦区",121.47061,31.23426,0,0,0,NA
"228",501541,"大富豪","3",16,14,15,52,100,"local","黄浦区",121.46977,31.2356,1,0,0,NA
"229",501545,"满迪牛排馆","4.5",24,24,22,1304,363,"western","卢湾区",121.46994,31.21975,1,0,0,NA
"230",501553,"王朝大酒店(虹口店)","4",21,20,20,152,149,"local","虹口区",121.48695,31.25012,1,0,0,NA
"231",501554,"吉野家(先施店)","3",15,14,13,0,24,"japan","黄浦区",121.48484,31.23756,0,1,1,NA
"232",501569,"堡德佳西班牙餐厅","4.5",22,24,22,1440,270,"western","长宁区",121.41378,31.21272,1,1,1,NA
"233",501570,"土佐屋","3",16,13,13,39,48,"japan","长宁区",121.40156,31.20643,0,1,1,NA
"234",501601,"佳鸣海鲜火锅店","3",21,9,10,0,88,"hotpot","卢湾区",121.47025,31.22087,0,0,0,NA
